timestamp,path,aliases,reference
1500216782,libavcodec/apedec.c,,CVE-2017-11399
1501117632,libavcodec/dnxhddec.c,,CVE-2017-11719
1501293279,libavformat/rtmppkt.c,,CVE-2017-11665
1501293953,libavformat/rtmppkt.c,,CVE-2017-11665
1503519573,libavformat/rtpdec_h264.c,libavformat/rtp_h264.c,CVE-2017-14767
1503567063,ffprobe.c,,CVE-2017-14225
1503854340,doc/demuxers.texi,,CVE-2017-14058
1503854340,libavformat/hls.c,libavformat/applehttp.c,CVE-2017-14058
1503854502,libavformat/asfdec_f.c,"libavformat/asfdec.c,libavformat/asf.c,libav/asf.c",CVE-2017-14057
1503854528,libavformat/cinedec.c,,CVE-2017-14059
1503854593,libavformat/rmdec.c,,CVE-2017-14054
1503854610,libavformat/rl2.c,,CVE-2017-14056
1503854617,libavformat/mvdec.c,,CVE-2017-14055
1504223311,libavformat/nsvdec.c,,CVE-2017-14171
1504223315,libavformat/mxfdec.c,,CVE-2017-14170
1504223319,libavformat/mxfdec.c,,CVE-2017-14169
1504790362,libavformat/mov.c,libav/mov.c,CVE-2017-14222
1504790362,libavformat/asfdec_f.c,"libavformat/asfdec.c,libavformat/asf.c,libav/asf.c",CVE-2017-14223
1507159364,libavcodec/x86/lossless_videoencdsp.asm,,CVE-2017-15186
1507672720,libavcodec/mpeg_er.c,,CVE-2017-17081
1510185948,libavcodec/vc2enc.c,,CVE-2017-16840
1510185948,libavcodec/vc2enc_dwt.c,,CVE-2017-16840
1510185948,libavcodec/vc2enc_dwt.h,,CVE-2017-16840
1510631671,libavcodec/x86/mpegvideodsp.c,,CVE-2017-17081
1517148652,libavfilter/vf_transpose.c,,CVE-2018-6392
1517795642,libavcodec/utvideodec.c,libavcodec/utvideo.c,CVE-2018-6621
1518314688,libavcodec/utvideodec.c,libavcodec/utvideo.c,CVE-2018-6912
1519730603,libavcodec/utvideodec.c,libavcodec/utvideo.c,CVE-2018-7557
1520646285,libavformat/img2dec.c,,CVE-2018-7751
1522544331,libavfilter/vf_signature.c,,CVE-2018-9841
1522544331,libavcodec/utvideodec.c,libavcodec/utvideo.c,CVE-2018-10001
1527455412,libavcodec/mpeg4videoenc.c,,CVE-2018-12458
1527695888,libavcodec/idctdsp.c,,CVE-2018-12460
1527695888,libavcodec/idctdsp.h,,CVE-2018-12460
1527695888,libavcodec/mpegvideo.c,,CVE-2018-12460
1528919719,libavcodec/mpeg4videodec.c,,CVE-2018-12459
1530214501,libavformat/movenc.c,,CVE-2018-13300
1530214501,libavcodec/mpeg4videodec.c,,CVE-2018-13301
1530214501,libavformat/movenc.c,,CVE-2018-13302
1530214501,libavcodec/ac3_parser.c,,CVE-2018-13303
1530312095,libavcodec/vc1_block.c,,CVE-2018-13305
1530699096,libavcodec/error_resilience.c,,CVE-2018-13304
1530699096,libavcodec/h263dec.c,,CVE-2018-13304
1530699096,libavcodec/mpeg4videodec.c,,CVE-2018-13304
1530738864,libavcodec/mpeg4videodec.c,,CVE-2018-1999015
1530813162,libavformat/asfdec_o.c,libavformat/asfdec-o.c,CVE-2018-1999011
1530813162,libavformat/pva.c,,CVE-2018-1999012
1530813162,libavformat/rmdec.c,,CVE-2018-1999013
1530813162,libavformat/mxfdec.c,,CVE-2018-1999014
1530873369,libavformat/mms.c,,CVE-2018-1999010
1531004149,libavformat/movenc.c,,CVE-2018-14394
1531170639,libavformat/movenc.c,,CVE-2018-14395
1533392221,libavformat/flvenc.c,,CVE-2018-15822
1545502623,libavcodec/cbs_av1.c,,CVE-2019-1000016
1550343417,libavcodec/mpeg4videodec.c,,CVE-2019-11339
1550395782,libavcodec/htmlsubtitles.c,,CVE-2019-9718
1550395782,libavcodec/htmlsubtitles.c,,CVE-2019-9721
1552348136,libavcodec/mpeg4videodec.c,,CVE-2019-11339
1553672530,libavcodec/hevcdec.c,libavcodec/hevc.c,CVE-2019-11338
1556118302,libavformat/aadec.c,,CVE-2019-12730
