path,cve
sys/arch/amd64/include/intrdefs.h,6.3_010
sys/arch/amd64/include/pcb.h,6.3_010
sys/arch/amd64/include/proc.h,6.3_010
sys/arch/amd64/include/specialreg.h,6.3_010
gnu/usr.bin/perl/regcomp.c,6.3_024
gnu/usr.bin/perl/util.c,6.3_024
gnu/usr.bin/perl/pod/perldiag.pod,6.3_024
gnu/usr.bin/perl/pod/perlrecharclass.pod,6.3_024
gnu/usr.bin/perl/t/lib/warnings/regcomp,6.3_024
gnu/usr.bin/perl/t/re/reg_mesg.t,6.3_024
gnu/usr.bin/perl/t/re/regex_sets.t,6.3_024
sys/uvm/uvm_mmap.c,6.3_028
sys/arch/amd64/amd64/vm_machdep.c,6.3_017
sys/arch/amd64/amd64/identcpu.c,6.3_014
sys/arch/i386/i386/machdep.c,6.3_014
sys/arch/i386/i386/gdt.c,6.3_015
sys/net/if_gif.c,6.3_004
sys/netinet/ip_output.c,6.3_027
sys/arch/amd64/amd64/vmm_support.S,6.3_019
lib/libcrypto/dsa/dsa_ossl.c,6.3_009
lib/libcrypto/ecdsa/ecs_ossl.c,6.3_009
sys/arch/amd64/amd64/identcpu.c,6.3_018
sys/arch/amd64/amd64/vmm.c,6.3_018
sys/arch/amd64/amd64/vmm_support.S,6.3_018
sys/arch/amd64/include/cpu.h,6.3_018
sys/arch/amd64/include/specialreg.h,6.3_018
sys/arch/amd64/include/vmmvar.h,6.3_018
gnu/usr.bin/perl/pp_pack.c,6.3_001
gnu/usr.bin/perl/regcomp.c,6.3_001
gnu/usr.bin/perl/regexec.c,6.3_001
gnu/usr.bin/perl/t/lib/warnings/regexec,6.3_001
gnu/usr.bin/perl/t/op/pack.t,6.3_001
gnu/usr.bin/perl/t/re/re_tests,6.3_001
sys/net/pf_norm.c,6.3_030
sys/net/pf.c,6.3_031
sys/arch/amd64/amd64/vmm.c,6.3_032
sys/arch/i386/i386/vmm.c,6.3_032
sys/kern/kern_exec.c,2.9_007
sys/kern/kern_exec.c,2.9_020
sys/kern/sys_process.c,2.9_020
sys/miscfs/procfs/procfs_mem.c,2.9_020
sys/sys/proc.h,2.9_020
sys/nfs/nfs_vfsops.c,2.9_012
usr.bin/sudo/check.c,2.9_025
usr.sbin/lpr/lpd/recvjob.c,2.9_017
usr.sbin/lpr/common_source/displayq.c,2.9_014
usr.bin/vi/build/recover,2.9_016
etc/daily,2.9_015
gnu/libexec/uucp/uuxqt/uuxqt.c,2.9_015
channels.c,2.9_021
gnu/usr.sbin/sendmail/sendmail/trace.c,2.9_013
lib/libc/gen/fts.c,2.9_002
lib/libc/net/gethostnamadr.c,2.9_027
lib/libc/net/getnetnamadr.c,2.9_027
usr.bin/sudo/BUGS,2.9_019
usr.bin/sudo/CHANGES,2.9_019
usr.bin/sudo/HISTORY,2.9_019
usr.bin/sudo/INSTALL,2.9_019
usr.bin/sudo/LICENSE,2.9_019
usr.bin/sudo/Makefile.bsd-wrapper,2.9_019
usr.bin/sudo/Makefile.in,2.9_019
usr.bin/sudo/PORTING,2.9_019
usr.bin/sudo/README,2.9_019
usr.bin/sudo/RUNSON,2.9_019
usr.bin/sudo/TODO,2.9_019
usr.bin/sudo/TROUBLESHOOTING,2.9_019
usr.bin/sudo/aclocal.m4,2.9_019
usr.bin/sudo/acsite.m4,2.9_019
usr.bin/sudo/alloc.c,2.9_019
usr.bin/sudo/check.c,2.9_019
usr.bin/sudo/compat.h,2.9_019
usr.bin/sudo/config.guess,2.9_019
usr.bin/sudo/config.h.in,2.9_019
usr.bin/sudo/config.sub,2.9_019
usr.bin/sudo/configure,2.9_019
usr.bin/sudo/configure.in,2.9_019
usr.bin/sudo/def_data.in,2.9_019
usr.bin/sudo/defaults.c,2.9_019
usr.bin/sudo/defaults.h,2.9_019
usr.bin/sudo/env.c,2.9_019
usr.bin/sudo/fileops.c,2.9_019
usr.bin/sudo/find_path.c,2.9_019
usr.bin/sudo/getspwuid.c,2.9_019
usr.bin/sudo/goodpath.c,2.9_019
usr.bin/sudo/install-sh,2.9_019
usr.bin/sudo/interfaces.c,2.9_019
usr.bin/sudo/interfaces.h,2.9_019
usr.bin/sudo/logging.c,2.9_019
usr.bin/sudo/mkdefaults,2.9_019
usr.bin/sudo/mkinstalldirs,2.9_019
usr.bin/sudo/parse.c,2.9_019
usr.bin/sudo/parse.lex,2.9_019
usr.bin/sudo/parse.yacc,2.9_019
usr.bin/sudo/pathnames.h.in,2.9_019
usr.bin/sudo/set_perms.c,2.9_019
usr.bin/sudo/sudo.8,2.9_019
usr.bin/sudo/sudo.c,2.9_019
usr.bin/sudo/sudo.h,2.9_019
usr.bin/sudo/sudo_setenv.c,2.9_019
usr.bin/sudo/sudoers,2.9_019
usr.bin/sudo/sudoers.5,2.9_019
usr.bin/sudo/testsudoers.c,2.9_019
usr.bin/sudo/tgetpass.c,2.9_019
usr.bin/sudo/version.h,2.9_019
usr.bin/sudo/visudo.8,2.9_019
usr.bin/sudo/visudo.c,2.9_019
usr.bin/sudo/auth/afs.c,2.9_019
usr.bin/sudo/auth/aix_auth.c,2.9_019
usr.bin/sudo/auth/bsdauth.c,2.9_019
usr.bin/sudo/auth/dce.c,2.9_019
usr.bin/sudo/auth/fwtk.c,2.9_019
usr.bin/sudo/auth/kerb4.c,2.9_019
usr.bin/sudo/auth/kerb5.c,2.9_019
usr.bin/sudo/auth/pam.c,2.9_019
usr.bin/sudo/auth/passwd.c,2.9_019
usr.bin/sudo/auth/rfc1938.c,2.9_019
usr.bin/sudo/auth/secureware.c,2.9_019
usr.bin/sudo/auth/securid.c,2.9_019
usr.bin/sudo/auth/sia.c,2.9_019
usr.bin/sudo/auth/sudo_auth.c,2.9_019
usr.bin/sudo/auth/sudo_auth.h,2.9_019
sys/kern/kern_exec.c,2.9_026
channels.c,2.9_006
channels.h,2.9_006
session.c,2.9_006
gnu/usr.sbin/sendmail/RELEASE_NOTES,2.9_001
gnu/usr.sbin/sendmail/cf/README,2.9_001
gnu/usr.sbin/sendmail/cf/cf/Makefile,2.9_001
gnu/usr.sbin/sendmail/cf/m4/cfhead.m4,2.9_001
gnu/usr.sbin/sendmail/cf/m4/proto.m4,2.9_001
gnu/usr.sbin/sendmail/cf/m4/version.m4,2.9_001
gnu/usr.sbin/sendmail/cf/ostype/aux.m4,2.9_001
gnu/usr.sbin/sendmail/doc/op/op.me,2.9_001
gnu/usr.sbin/sendmail/include/libmilter/milter.h,2.9_001
gnu/usr.sbin/sendmail/libmilter/README,2.9_001
gnu/usr.sbin/sendmail/libmilter/libmilter.h,2.9_001
gnu/usr.sbin/sendmail/libmilter/listener.c,2.9_001
gnu/usr.sbin/sendmail/libmilter/main.c,2.9_001
gnu/usr.sbin/sendmail/libmilter/sm_gethost.c,2.9_001
gnu/usr.sbin/sendmail/mailstats/mailstats.8,2.9_001
gnu/usr.sbin/sendmail/mailstats/mailstats.c,2.9_001
gnu/usr.sbin/sendmail/praliases/praliases.c,2.9_001
gnu/usr.sbin/sendmail/rmail/rmail.c,2.9_001
gnu/usr.sbin/sendmail/sendmail/Makefile,2.9_001
gnu/usr.sbin/sendmail/sendmail/README,2.9_001
gnu/usr.sbin/sendmail/sendmail/TRACEFLAGS,2.9_001
gnu/usr.sbin/sendmail/sendmail/alias.c,2.9_001
gnu/usr.sbin/sendmail/sendmail/arpadate.c,2.9_001
gnu/usr.sbin/sendmail/sendmail/bf_portable.c,2.9_001
gnu/usr.sbin/sendmail/sendmail/bf_torek.c,2.9_001
gnu/usr.sbin/sendmail/sendmail/clock.c,2.9_001
gnu/usr.sbin/sendmail/sendmail/collect.c,2.9_001
gnu/usr.sbin/sendmail/sendmail/conf.c,2.9_001
gnu/usr.sbin/sendmail/sendmail/conf.h,2.9_001
gnu/usr.sbin/sendmail/sendmail/control.c,2.9_001
gnu/usr.sbin/sendmail/sendmail/daemon.c,2.9_001
gnu/usr.sbin/sendmail/sendmail/deliver.c,2.9_001
gnu/usr.sbin/sendmail/sendmail/envelope.c,2.9_001
gnu/usr.sbin/sendmail/sendmail/err.c,2.9_001
gnu/usr.sbin/sendmail/sendmail/headers.c,2.9_001
gnu/usr.sbin/sendmail/sendmail/main.c,2.9_001
